subset,label,folder,filename,index
testing,UxMmqz1IC6,UxMmqz1IC6,0_U.PNG,56
testing,UxMmqz1IC6,UxMmqz1IC6,1_x.PNG,33
testing,UxMmqz1IC6,UxMmqz1IC6,2_M.PNG,48
testing,UxMmqz1IC6,UxMmqz1IC6,3_m.PNG,22
testing,UxMmqz1IC6,UxMmqz1IC6,4_q.PNG,26
testing,UxMmqz1IC6,UxMmqz1IC6,5_z.PNG,35
testing,UxMmqz1IC6,UxMmqz1IC6,6_1.PNG,1
testing,UxMmqz1IC6,UxMmqz1IC6,7_I.PNG,44
testing,UxMmqz1IC6,UxMmqz1IC6,8_C.PNG,38
testing,UxMmqz1IC6,UxMmqz1IC6,9_6.PNG,6
testing,UxUuc2D8tG,UxUuc2D8tG,0_U.PNG,56
testing,UxUuc2D8tG,UxUuc2D8tG,1_x.PNG,33
testing,UxUuc2D8tG,UxUuc2D8tG,2_U.PNG,56
testing,UxUuc2D8tG,UxUuc2D8tG,3_u.PNG,30
testing,UxUuc2D8tG,UxUuc2D8tG,4_c.PNG,12
testing,UxUuc2D8tG,UxUuc2D8tG,5_2.PNG,2
testing,UxUuc2D8tG,UxUuc2D8tG,6_D.PNG,39
testing,UxUuc2D8tG,UxUuc2D8tG,7_8.PNG,8
testing,UxUuc2D8tG,UxUuc2D8tG,8_t.PNG,29
testing,UxUuc2D8tG,UxUuc2D8tG,9_G.PNG,42
testing,UXyBNYnPC7,UXyBNYnPC7,0_U.PNG,56
testing,UXyBNYnPC7,UXyBNYnPC7,1_X.PNG,59
testing,UXyBNYnPC7,UXyBNYnPC7,2_y.PNG,34
testing,UXyBNYnPC7,UXyBNYnPC7,3_B.PNG,37
testing,UXyBNYnPC7,UXyBNYnPC7,4_N.PNG,49
testing,UXyBNYnPC7,UXyBNYnPC7,5_Y.PNG,60
testing,UXyBNYnPC7,UXyBNYnPC7,6_n.PNG,23
testing,UXyBNYnPC7,UXyBNYnPC7,7_P.PNG,51
testing,UXyBNYnPC7,UXyBNYnPC7,8_C.PNG,38
testing,UXyBNYnPC7,UXyBNYnPC7,9_7.PNG,7
testing,uY4F40jqD1,uY4F40jqD1,0_u.PNG,30
testing,uY4F40jqD1,uY4F40jqD1,1_Y.PNG,60
testing,uY4F40jqD1,uY4F40jqD1,2_4.PNG,4
testing,uY4F40jqD1,uY4F40jqD1,3_F.PNG,41
testing,uY4F40jqD1,uY4F40jqD1,4_4.PNG,4
testing,uY4F40jqD1,uY4F40jqD1,5_0.PNG,0
testing,uY4F40jqD1,uY4F40jqD1,6_j.PNG,19
testing,uY4F40jqD1,uY4F40jqD1,7_q.PNG,26
testing,uY4F40jqD1,uY4F40jqD1,8_D.PNG,39
testing,uY4F40jqD1,uY4F40jqD1,9_1.PNG,1
testing,uyJ8B83416,uyJ8B83416,0_u.PNG,30
testing,uyJ8B83416,uyJ8B83416,1_y.PNG,34
testing,uyJ8B83416,uyJ8B83416,2_J.PNG,45
testing,uyJ8B83416,uyJ8B83416,3_8.PNG,8
testing,uyJ8B83416,uyJ8B83416,4_B.PNG,37
testing,uyJ8B83416,uyJ8B83416,5_8.PNG,8
testing,uyJ8B83416,uyJ8B83416,6_3.PNG,3
testing,uyJ8B83416,uyJ8B83416,7_4.PNG,4
testing,uyJ8B83416,uyJ8B83416,8_1.PNG,1
testing,uyJ8B83416,uyJ8B83416,9_6.PNG,6
testing,UYO3rdd1dc,UYO3rdd1dc,0_U.PNG,56
testing,UYO3rdd1dc,UYO3rdd1dc,1_Y.PNG,60
testing,UYO3rdd1dc,UYO3rdd1dc,2_O.PNG,50
testing,UYO3rdd1dc,UYO3rdd1dc,3_3.PNG,3
testing,UYO3rdd1dc,UYO3rdd1dc,4_r.PNG,27
testing,UYO3rdd1dc,UYO3rdd1dc,5_d.PNG,13
testing,UYO3rdd1dc,UYO3rdd1dc,6_d.PNG,13
testing,UYO3rdd1dc,UYO3rdd1dc,7_1.PNG,1
testing,UYO3rdd1dc,UYO3rdd1dc,8_d.PNG,13
testing,UYO3rdd1dc,UYO3rdd1dc,9_c.PNG,12
testing,uyU4A355w2,uyU4A355w2,0_u.PNG,30
testing,uyU4A355w2,uyU4A355w2,1_y.PNG,34
testing,uyU4A355w2,uyU4A355w2,2_U.PNG,56
testing,uyU4A355w2,uyU4A355w2,3_4.PNG,4
testing,uyU4A355w2,uyU4A355w2,4_A.PNG,36
testing,uyU4A355w2,uyU4A355w2,5_3.PNG,3
testing,uyU4A355w2,uyU4A355w2,6_5.PNG,5
testing,uyU4A355w2,uyU4A355w2,7_5.PNG,5
testing,uyU4A355w2,uyU4A355w2,8_w.PNG,32
testing,uyU4A355w2,uyU4A355w2,9_2.PNG,2
testing,uyy9X7wHuP,uyy9X7wHuP,0_u.PNG,30
testing,uyy9X7wHuP,uyy9X7wHuP,1_y.PNG,34
testing,uyy9X7wHuP,uyy9X7wHuP,2_y.PNG,34
testing,uyy9X7wHuP,uyy9X7wHuP,3_9.PNG,9
testing,uyy9X7wHuP,uyy9X7wHuP,4_X.PNG,59
testing,uyy9X7wHuP,uyy9X7wHuP,5_7.PNG,7
testing,uyy9X7wHuP,uyy9X7wHuP,6_w.PNG,32
testing,uyy9X7wHuP,uyy9X7wHuP,7_H.PNG,43
testing,uyy9X7wHuP,uyy9X7wHuP,8_u.PNG,30
testing,uyy9X7wHuP,uyy9X7wHuP,9_P.PNG,51
